Wavelength (nm),%T
652,0.812976676
651,0.810622913
650,0.808504341
649,0.806336676
648,0.803676224
647,0.801261056
646,0.798696164
645,0.796097127
644,0.793409459
643,0.790757224
642,0.78782451
641,0.785323216
640,0.782296773
639,0.779020418
638,0.776192479
637,0.7732266
636,0.770123702
635,0.766961612
634,0.763324353
633,0.760368003
632,0.757011644
631,0.752698119
630,0.748885541
629,0.745644359
628,0.741817356
627,0.73837594
626,0.734076084
625,0.730336175
624,0.726146237
623,0.722070324
622,0.717797281
621,0.713579594
620,0.709276206
619,0.704347261
618,0.69977876
617,0.694727843
616,0.689958585
615,0.68481379
614,0.679681342
613,0.674555469
612,0.668797251
611,0.663438089
610,0.657393577
609,0.651979714
608,0.645653359
607,0.639641926
606,0.63343633
605,0.626919588
604,0.620805661
603,0.613931132
602,0.606921757
601,0.599839035
600,0.592738894
599,0.585733088
598,0.577879233
597,0.570414296
596,0.562481524
595,0.554558352
594,0.545721519
593,0.537255013
592,0.528697595
591,0.520197465
590,0.511404522
589,0.502422832
588,0.493461686
587,0.484217721
586,0.474863587
585,0.465181284
584,0.455473032
583,0.445681916
582,0.43558512
581,0.42559797
580,0.415305674
579,0.4046324
578,0.39472036
577,0.384006235
576,0.373283541
575,0.362573789
574,0.351590198
573,0.340724024
572,0.329680618
571,0.318711166
570,0.30756
569,0.296691261
568,0.285873731
567,0.274746072
566,0.263968793
565,0.253618593
564,0.242701021
563,0.232484637
562,0.222323557
561,0.212546151
560,0.202808209
559,0.193488452
558,0.184446362
557,0.175746757
556,0.167376042
555,0.159384859
554,0.151969115
553,0.144861689
552,0.13828449
551,0.132270121
550,0.12674704
549,0.121829355
548,0.117370268
547,0.113273448
546,0.110174907
545,0.107551438
544,0.105510556
543,0.10394484
542,0.103080629
541,0.102817501
540,0.103448019
539,0.104461556
538,0.105926524
537,0.108298217
536,0.111028973
535,0.114426802
534,0.118214954
533,0.122666255
532,0.127494181
531,0.13277886
530,0.138872422
529,0.145068646
528,0.151556045
527,0.158634252
526,0.165817675
525,0.173607836
524,0.181546973
523,0.189742013
522,0.198111128
521,0.206676143
520,0.215465369
519,0.224301504
518,0.233236693
517,0.242482544
516,0.251695691
515,0.261014217
514,0.269991842
513,0.27944236
512,0.288871981
511,0.297829225
510,0.307220405
509,0.316400447
508,0.325598498
507,0.334598883
506,0.343541836
505,0.352448658
504,0.361100237
503,0.369750893
502,0.37821343
501,0.386422217
500,0.394467553
499,0.402636132
498,0.410219619
497,0.418103032
496,0.425612173
495,0.433040653
494,0.440581269
493,0.447514302
492,0.454598088
491,0.461203026
490,0.468018736
489,0.474310514
488,0.481069059
487,0.487146543
486,0.493113735
485,0.499316152
484,0.504653301
483,0.50996626
482,0.515730074
481,0.52089922
480,0.526209201
479,0.531107002
478,0.535884998
477,0.540405107
476,0.545213464
475,0.550586733
474,0.554938447
473,0.558978303
472,0.56295222
471,0.56709286
470,0.570626186
469,0.574718597
468,0.578000456
467,0.581840364
466,0.584662791
465,0.587811403
464,0.591247604
463,0.594009816
462,0.596902429
461,0.599494821
460,0.602072163
459,0.604834204
458,0.606920937
457,0.609544529
456,0.611299062
455,0.613366874
454,0.615414084
453,0.617310401
452,0.619267933
451,0.620846775
450,0.622251092
449,0.623560255
448,0.624980058
447,0.626315908
446,0.627697281
445,0.62851347
444,0.629699744
443,0.630448536
442,0.63121706
441,0.63214397
440,0.632981251
439,0.633282054
438,0.634001363
437,0.634542187
436,0.634525054
435,0.635116357
434,0.635096715
433,0.635071932
432,0.634968162
431,0.634935893
430,0.634819674
429,0.634522236
428,0.633578165
427,0.63328833
426,0.632328323
425,0.631722477
424,0.630775163
423,0.630218873
422,0.628739595
421,0.627795834
420,0.626441899
419,0.625134997
418,0.623566981
417,0.622383305
416,0.62058428
415,0.618565444
414,0.617202861
413,0.615170849
412,0.612890468
411,0.610686889
410,0.608465049
409,0.605957331
408,0.603308413
407,0.600602505
406,0.598066218
405,0.594617921
404,0.592149001
403,0.588700291
402,0.585495271
401,0.581626932
400,0.578331654
399,0.574897301
398,0.570849834
397,0.566966101
396,0.562685608
395,0.557864222
394,0.553198594
393,0.54924512
392,0.543265057
391,0.539385362
390,0.534024922
389,0.528759573
388,0.523597076
387,0.518269
386,0.512766511
385,0.506871209
384,0.501151237
383,0.495908627
382,0.490098805
381,0.484124263
380,0.478444872
379,0.472658917
378,0.466764843
377,0.46089104
376,0.455354538
375,0.449751729
374,0.444480495
373,0.438492843
372,0.432944171
371,0.426654758
370,0.421407487
369,0.416354921
368,0.410008065
367,0.404407759
366,0.398674549
365,0.393183844
364,0.387372038
363,0.38138752
362,0.375371386
361,0.36973435
360,0.362887715
359,0.356315939
358,0.350150286
357,0.343185508
356,0.337043886
355,0.330437271
354,0.323962222
353,0.316453896
352,0.309357991
351,0.302251133
350,0.294627995
349,0.287529988
348,0.280494179
347,0.272469914
346,0.263922159
345,0.254774665
344,0.245772684
343,0.236255934
342,0.226552943
341,0.215786082
340,0.205069207
339,0.193095645
338,0.181523124
337,0.169955339
336,0.157853829
335,0.145503468
334,0.133021375
333,0.121079465
332,0.10811797
331,0.096008112
330,0.08457897
329,0.072540422
328,0.061640927
327,0.051520213
326,0.04208206
325,0.03412989
324,0.026463848
323,0.020275071
322,0.014098025
321,0.010284827
320,0.006993119
319,0
318,0
317,0
316,0
315,0
314,0.002233771
313,0.00352209
312,0.008232054
311,0.010379103
310,0.014533662
309,0.016199865
308,0.019945157
307,0.023029624
306,0.025691865
305,0.029151173
304,0.031841462
303,0.034797216
302,0.037804663
301,0.04035244
300,0.043071872
