Wavelength (nm),%T
652,0.698567339
651,0.69652113
650,0.694896533
649,0.692537084
648,0.690550962
647,0.688276099
646,0.686264361
645,0.683930839
644,0.68150493
643,0.679276862
642,0.676613472
641,0.674640972
640,0.671635085
639,0.669226711
638,0.66646885
637,0.663691554
636,0.660998259
635,0.658028773
634,0.65522334
633,0.652073073
632,0.649114589
631,0.645907074
630,0.642445828
629,0.639405015
628,0.635659973
627,0.632569959
626,0.628533236
625,0.625041501
624,0.621014707
623,0.61761988
622,0.613622332
621,0.609524218
620,0.605513748
619,0.601096447
618,0.596992407
617,0.592358947
616,0.587914144
615,0.5833882
614,0.57847683
613,0.573823454
612,0.568670775
611,0.563708321
610,0.558198123
609,0.553204383
608,0.547627393
607,0.541161028
606,0.535671121
605,0.529476884
604,0.523954908
603,0.517579931
602,0.511438276
601,0.504756452
600,0.498438268
599,0.49164404
598,0.484674561
597,0.477476754
596,0.470303209
595,0.462961171
594,0.455385385
593,0.447616754
592,0.439759907
591,0.431748092
590,0.423559861
589,0.415391312
588,0.406970979
587,0.398748279
586,0.390103903
585,0.381185756
584,0.372327649
583,0.363112224
582,0.353882921
581,0.344798399
580,0.335308666
579,0.325571709
578,0.316123942
577,0.306412389
576,0.296640322
575,0.286769203
574,0.276739154
573,0.266716251
572,0.256796377
571,0.246633766
570,0.236488466
569,0.22649773
568,0.216803639
567,0.206907943
566,0.197002857
565,0.187433306
564,0.177416972
563,0.167934901
562,0.158771249
561,0.149623242
560,0.140842606
559,0.132298791
558,0.123880673
557,0.116086331
556,0.108483721
555,0.10104069
554,0.094291646
553,0.087721518
552,0.081743506
551,0.076111229
550,0.071215114
549,0.066406056
548,0.062291789
547,0.058748892
546,0.055792246
545,0.053401834
544,0.05177487
543,0.050327559
542,0.049590926
541,0.049237624
540,0.050021763
539,0.050817638
538,0.05251969
537,0.054598676
536,0.057202029
535,0.060517619
534,0.064154328
533,0.068322865
532,0.073220664
531,0.077966471
530,0.083798782
